customer_id,address_id,country_code,address_match_key,address_type_code,mail_indicator,carrier_route,address_ncoa_date,address_1,address_2,address_3,address_4,address_5,address_6,post_code,date_last_modified,address_error,address_longitude,address_latitude,timestamp,create_store_no,modify_store_no,create_user_id,create_date,modify_user_id,create_source_id,create_comment,modify_source_id,modify_comment,posted_date,old_customer_id,temp_old_cust_no
1,1,USA,921013532    WORK,HOME,1,R279,10-01-2018,9310 Oak Ave,Apt 686,San Diego,CA,Building B,Floor 2,92101-6329,10-01-2018 00:00,R914,-89.109694,40.41833,0000000024EE4B4F,9451,2,-2,12-07-2012 00:00,3000,4,Initial load,0,Updated by customer,10-01-2018 00:00,OLD316344,1521009
1,2,GBR,606014772    WORK,SHIP,1,C8238,28-08-2013,6160 Lake Dr,#266,Chicago,IL,East Tower,Ground Floor,60601-3717,28-08-2013 00:00,R914,-103.475358,42.048881,000000000A32F146,1,2,-1,10-10-2012 00:00,1000,1,Data import,1,Verified,28-08-2013 00:00,OLD369812,7367010
2,1,AUS,190196661    HOME,HOME,1,R624,26-06-2019,7694 Cedar Rd,Suite 430,Philadelphia,PA,Building A,Floor 1,19019-6618,26-06-2019 00:00,R915,-104.860781,29.830794,000000001FA59111,2,9451,-1,12-02-2014 00:00,2000,3,Data import,1,System update,26-06-2019 00:00,OLD654122,8987417
2,2,USA,782016737    BILL,MAIL,1,C9226,28-02-2021,1715 Main St,Unit 20,San Antonio,TX,Building B,Floor 1,78201-8183,28-02-2021 00:00,VALID,-103.463035,38.011884,00000000389929DB,9851,2,1000,23-12-2013 00:00,1000,2,Data import,2,Manual correction,28-02-2021 00:00,OLD780727,7787575
3,1,ITA,190199413    HOME,SHIP,0,R767,11-01-2023,8409 Broadway,Unit 34,Philadelphia,PA,Building B,Floor 3,19019-8454,11-01-2023 00:00,R914,-71.746614,42.942313,000000002EF64D23,9851,9588,3000,19-06-2012 00:00,3000,1,Customer update,1,Verified,11-01-2023 00:00,OLD787757,6084954
4,1,AUS,770012747    SHIP,WORK,0,C9588,17-11-2013,5870 Salido Ave,Unit 29,Houston,TX,Building A,Floor 2,77001-9768,17-11-2013 00:00,R914,-95.097087,29.489061,000000001F780925,9422,9851,2000,07-01-2012 00:00,3000,1,Initial load,3,Manual correction,17-11-2013 00:00,OLD857690,2399177
4,2,USA,782016164    WORK,MAIL,1,R410,29-08-2023,8462 Elm St,#430,San Antonio,TX,Building A,Ground Floor,78201-9964,29-08-2023 00:00,R915,-82.862111,47.81796,0000000020B34EEE,5011,5011,-1,17-01-2014 00:00,-1,2,Data import,0,NCOA update,29-08-2023 00:00,OLD437439,1225875
5,1,JPN,100015660    MAIL,MAIL,1,C3225,15-02-2024,4668 Park Ln,Apt 367,New York,NY,West Tower,Floor 1,10001-2680,15-02-2024 00:00,VERIFIED,-100.497923,48.384935,0000000026ACD2BB,9851,9422,-1,27-03-2012 00:00,3000,2,Customer update,1,NCOA update,15-02-2024 00:00,OLD828032,4087075
6,1,GBR,761019738    WORK,SHIP,0,C3144,31-07-2018,553 Pine Ave,Apt 498,Fort Worth,TX,East Tower,Ground Floor,76101-9762,31-07-2018 00:00,VALID,-77.851976,26.629055,0000000011977073,9851,9588,-1,11-05-2012 00:00,2000,4,Address verification,2,Verified,31-07-2018 00:00,OLD368731,7410016
7,1,DEU,951018595    HOME,OTHER,0,C1416,29-06-2023,3465 Lake Dr,Unit 25,San Jose,CA,West Tower,Floor 3,95101-7876,29-06-2023 00:00,VALID,-96.839368,37.704338,00000000042A21F7,2,1,-1,09-03-2012 00:00,-1,3,Data import,2,Verified,29-06-2023 00:00,OLD905055,1281586
8,1,JPN,787017084    SHIP,BILL,1,C2380,06-08-2018,856 Hill St,Suite 332,Austin,TX,North Wing,Ground Floor,78701-1661,06-08-2018 00:00,VALID,-119.098514,34.750208,00000000116C5CE0,5011,9588,3000,03-01-2012 00:00,-1,3,Address verification,2,Manual correction,06-08-2018 00:00,OLD274967,4797564
8,2,ESP,606018409    WORK,WORK,0,C5389,03-12-2020,4193 Hill St,Apt 809,Chicago,IL,West Tower,Floor 3,60601-8408,03-12-2020 00:00,VALID,-79.323402,41.166165,000000000EA213B2,9588,2,-2,25-01-2014 00:00,3000,4,Initial load,3,Updated by customer,03-12-2020 00:00,OLD794908,2883527
9,1,JPN,606017845    WORK,SHIP,1,C6813,15-07-2013,2964 Main St,Suite 532,Chicago,IL,North Wing,Ground Floor,60601-6335,15-07-2013 00:00,R914,-98.205596,40.736247,000000002D4FB3F9,5011,9588,2000,27-05-2013 00:00,3000,1,Initial load,0,Verified,15-07-2013 00:00,OLD383967,8275617
9,2,USA,782018223    HOME,SHIP,0,C6275,06-06-2025,3796 Church Rd,Unit 37,San Antonio,TX,East Tower,Mezzanine,78201-7556,06-06-2025 00:00,R913,-100.723694,25.68216,000000001FE29159,1,1,3000,02-08-2013 00:00,2000,2,Customer update,1,System update,06-06-2025 00:00,OLD617131,2229935
10,1,JPN,951017955    SHIP,HOME,1,C4113,19-06-2018,1198 Leisure Ln,#312,San Jose,CA,Building A,Floor 3,95101-3569,19-06-2018 00:00,VALID,-122.789325,44.704914,0000000026F77BE6,9422,2,1000,29-08-2012 00:00,3000,2,Data import,0,Manual correction,19-06-2018 00:00,OLD617617,4468761
11,1,CAN,752014889    SHIP,SHIP,0,R713,18-10-2023,5970 Leisure Ln,Suite 731,Dallas,TX,Building B,Floor 2,75201-5236,18-10-2023 00:00,VALID,-117.956809,31.967619,00000000107C1F50,1,5011,1000,31-05-2013 00:00,3000,2,System migration,0,System update,18-10-2023 00:00,OLD653144,9148671
