customer_id,language_code,alpha_key,phonetic_key,customer_no,title,first_name,last_name,gender,marital_status,next_address_id,distribution_status,landmark_date_a,landmark_date_b,segmentation_value_a,segmentation_value_b,segmentation_value_c,segmentation_value_d,segmentation_code_a,segmentation_code_b,segmentation_code_c,segmentation_code_d,segmentation_flag_a,segmentation_flag_b,segmentation_flag_c,segmentation_flag_d,segmentation_flag_e,segmentation_flag_f,status,salutation,head_of_household_flag,timestamp,original_division_id,company_name,job_title,birth_date,birth_day,is_complete,complete_date,complete_modify_date,system_modify_date
1,SPA,SMIT    JAME,SMITJA,68370720873,Mr,James,Smith,M,M,1,0,19-04-2014,15-09-2014,GOLD,HIGH,INACTIVE,HYBRID,B,4,Z,P,0,1,1,1,0,0,A,Mr James Smith,0,000000001850BAA0,1,Tech Solutions,Engineer,05-04-1960,5,1,19-04-2014 00:00,25-04-2014 00:00,27-04-2015 00:00
2,POR,MOOR    BARB,MOORBA,38249512383,Mr,Barbara,Moore,M,M,3,0,29-07-2018,23-01-2019,PREMIUM,MEDIUM,ACTIVE,HYBRID,C,4,Z,Q,1,1,0,1,0,0,P,Mrs Barbara Moore,0,000000001D95ABDD,2,Tech Solutions,CEO,18-02-1969,18,1,29-07-2018 00:00,05-11-2018 00:00,30-08-2019 00:00
3,SPA,DAVI    MICH,DAVIMI,91359177700,Ms,Michael,Davis,M,S,3,1,02-01-2018,22-08-2018,VIP,MEDIUM,DORMANT,ONLINE,B,5,Z,S,1,1,0,0,1,0,A,Mr Michael Davis,0,0000000028281372,1,Consulting LLC,Analyst,13-06-1996,13,0,02-01-2018 00:00,21-02-2018 00:00,16-07-2018 00:00
4,ITA,ANDE    KARE,ANDEKA,99200452323,Ms,Karen,Anderson,M,M,2,1,27-07-2014,14-11-2014,VIP,HIGH,DORMANT,ONLINE,E,1,Z,Q,0,1,0,0,1,1,A,Mr Karen Anderson,1,00000000383CFAAD,2,XYZ Industries,Manager,22-01-1980,22,0,27-07-2014 00:00,08-10-2014 00:00,23-11-2015 00:00
5,FRE,WILL    DAVI,WILLDA,33836224944,Ms,David,Williams,F,U,3,1,12-12-2023,28-04-2024,GOLD,MEDIUM,DORMANT,HYBRID,C,4,W,P,0,0,0,1,0,0,P,Mrs David Williams,0,00000000048B2696,3,Services Inc,Manager,25-02-1997,25,0,12-12-2023 00:00,21-12-2023 00:00,19-03-2025 00:00
6,GER,HERN    MICH,HERNMI,29495861299,Prof,Michael,Hernandez,M,U,2,0,20-11-2022,19-08-2023,VIP,MEDIUM,ACTIVE,RETAIL,D,3,W,S,1,0,0,0,1,1,A,Mrs Michael Hernandez,0,000000000C2C61FC,3,Global Enterprises,VP Sales,09-04-1977,9,1,20-11-2022 00:00,14-12-2022 00:00,11-04-2023 00:00
7,ENG,DAVI    BARB,DAVIBA,22751741827,Mrs,Barbara,Davis,M,S,2,1,18-02-2013,21-11-2013,STANDARD,VERY_HIGH,ACTIVE,ONLINE,D,1,W,R,1,1,1,1,0,0,A,Mrs Barbara Davis,0,0000000025114A31,3,Retail Group,Manager,04-09-1973,4,1,18-02-2013 00:00,26-02-2013 00:00,15-03-2013 00:00
8,SPA,THOM    SARA,THOMSA,21145590913,Mrs,Sarah,Thomas,M,W,1,0,02-03-2016,22-01-2017,GOLD,HIGH,ACTIVE,HYBRID,E,5,Z,R,0,1,0,1,1,0,A,Dr Sarah Thomas,1,000000003B75094F,1,ABC Corp,Specialist,03-09-1948,3,0,02-03-2016 00:00,12-03-2016 00:00,02-12-2016 00:00
9,POR,TAYL    RICH,TAYLRI,32698848018,Dr,Richard,Taylor,M,U,3,1,24-06-2017,02-06-2018,GOLD,HIGH,DORMANT,RETAIL,B,3,X,P,0,1,1,0,1,0,A,Dr Richard Taylor,1,0000000039F10872,1,ABC Corp,Analyst,03-06-1953,3,1,24-06-2017 00:00,30-06-2017 00:00,25-06-2017 00:00
10,CHI,JONE    MARY,JONEMA,12409076656,Mr,Mary,Jones,M,M,3,0,16-05-2024,21-03-2025,PREMIUM,LOW,INACTIVE,HYBRID,B,1,Z,R,0,1,0,0,0,1,P,Dr Mary Jones,0,000000003B3FB6E7,1,Consulting LLC,VP Sales,15-12-1955,15,0,16-05-2024 00:00,08-07-2024 00:00,28-05-2024 00:00
