customer_id,email_id,email_address,email_type,is_valid,opt_in,opt_in_date,bounce_count,last_verified,create_date,modify_date,create_user_id,modify_user_id
1,1,james.smith990@outlook.com,SECONDARY,0,0,13-10-2012 00:00,0,14-01-2025 00:00,13-10-2012 00:00,14-01-2025 00:00,-2,1000
3,1,michael.davis956@aol.com,SECONDARY,1,0,12-02-2014 00:00,1,22-02-2016 00:00,12-02-2014 00:00,22-02-2016 00:00,1000,1000
3,2,michael.davis682@gmail.com,PRIMARY,0,1,13-02-2012 00:00,0,17-03-2023 00:00,13-02-2012 00:00,17-03-2023 00:00,-1,2000
4,1,karen.anderson669@aol.com,PERSONAL,0,0,16-10-2012 00:00,1,15-07-2022 00:00,16-10-2012 00:00,15-07-2022 00:00,2000,1000
5,1,david.williams765@hotmail.com,BUSINESS,0,1,18-03-2012 00:00,2,29-12-2015 00:00,18-03-2012 00:00,29-12-2015 00:00,-2,-1
6,1,michael.hernandez341@hotmail.com,PERSONAL,0,0,17-07-2012 00:00,0,27-08-2021 00:00,17-07-2012 00:00,27-08-2021 00:00,-1,1000
6,2,michael.hernandez200@hotmail.com,PRIMARY,1,1,03-06-2014 00:00,0,29-09-2022 00:00,03-06-2014 00:00,29-09-2022 00:00,-2,-2
7,1,barbara.davis959@outlook.com,BUSINESS,1,0,11-02-2014 00:00,0,23-07-2016 00:00,11-02-2014 00:00,23-07-2016 00:00,-2,-1
7,2,barbara.davis331@yahoo.com,PRIMARY,1,0,12-12-2012 00:00,0,28-12-2018 00:00,12-12-2012 00:00,28-12-2018 00:00,2000,1000
8,1,sarah.thomas97@outlook.com,WORK,1,1,29-08-2012 00:00,0,02-11-2024 00:00,29-08-2012 00:00,02-11-2024 00:00,2000,2000
9,1,richard.taylor279@gmail.com,SECONDARY,0,0,26-02-2013 00:00,0,01-04-2021 00:00,26-02-2013 00:00,01-04-2021 00:00,-2,2000
10,1,mary.jones609@yahoo.com,PRIMARY,0,1,02-01-2014 00:00,1,14-05-2021 00:00,02-01-2014 00:00,14-05-2021 00:00,-2,1000
