orderid,createdtimestamp,iscancelled,isconfirmed,maxfulfillmentstatusid,minfulfillmentstatusid,ordertypeid,orgid,sellinglocationid,messageid,utmcampaign,utmmedium,utmsource,customeremail,fulfillmentstatus,alternateorderid,order_source,payment_method,shipping_method,customer_type,device_type,browser
122000000,2021-04-01T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC4657,b6059a1c-8dfd-4b4d-a614-3d52b7112db4,summer_promo,referral,google,customer9935@email.com,Fulfilled,ALT719176,IN_STORE,CREDIT_CARD,STANDARD,NEW,MOBILE,Safari
122000001,2025-08-31T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC9928,d2c7648c-9fb1-45e8-ba10-5779890490c5,holiday_2024,social,newsletter,customer5557@email.com,Cancelled,ALT106814,MOBILE_APP,GIFT_CARD,OVERNIGHT,VIP,MOBILE,Safari
122000002,2023-10-10T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC6881,63a65079-30a8-4805-93d7-c9d4a99d4fff,new_year,cpc,bing,customer5333@email.com,Cancelled,ALT145561,IN_STORE,APPLE_PAY,STANDARD,LOYALTY,DESKTOP,Mobile Safari
122000003,2023-04-15T00:00:00.000,False,True,4000,4000,PHONE,dxlg-us,LOC4150,f4aa135c-6894-468d-8d6f-208765cb6783,cyber_monday,email,google,customer4733@email.com,Cancelled,ALT403445,WEBSITE,DEBIT_CARD,STANDARD,LOYALTY,TABLET,Edge
122000004,2024-02-03T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5374,07874b98-7030-4dc8-821d-cdbb74f335bb,cyber_monday,referral,twitter,customer2169@email.com,Shipped,ALT765822,MOBILE_APP,APPLE_PAY,EXPRESS,RETURNING,APP,Edge
122000005,2023-01-10T00:00:00.000,True,False,5000,5000,PHONE,dxlg-us,LOC1916,e8e3c4bb-a05b-4994-97b5-d78bf3b74b9c,summer_promo,email,affiliate,customer6168@email.com,Pending,ALT380746,WEBSITE,DEBIT_CARD,SAME_DAY,VIP,MOBILE,Edge
122000006,2024-06-08T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC3340,06945d8f-5d78-483e-a913-c329bcd6b076,fall_clearance,social,facebook,customer9830@email.com,Fulfilled,ALT883300,IN_STORE,APPLE_PAY,PICKUP,VIP,MOBILE,Safari
122000007,2025-09-18T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC3504,c4c6d833-44d7-4bbb-b887-916f49517eed,cyber_monday,social,affiliate,customer7916@email.com,Shipped,ALT166613,IN_STORE,GIFT_CARD,SAME_DAY,LOYALTY,TABLET,Mobile Safari
122000008,2020-02-17T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC6573,35475a2a-5fff-4f06-977f-bc91dda8f4dd,spring_sale,cpc,newsletter,customer3591@email.com,Pending,ALT103402,CALL_CENTER,APPLE_PAY,EXPRESS,NEW,TABLET,Mobile Safari
122000009,2022-03-25T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC6310,87cddcad-0ba1-4a12-9cf7-76dba05947e4,holiday_2024,email,google,customer6947@email.com,Cancelled,ALT945964,CALL_CENTER,DEBIT_CARD,STANDARD,RETURNING,DESKTOP,Chrome
