payment_pk,orderid,orderpk,createdby,createdtimestamp,updatedby,updatedtimestamp,messages,orgid,paymentgroupid,customerid,iscancelled,statusid,messageid,load_date,update_date
6383076199807605773,122000000,6289436305598332147,customer9935@email.com,2021-04-01T00:00:00.000,system@dxlg.com,2021-04-01T00:22:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,ff188b1f-759b-4a68-bdaa-9711d42c11c0,CUST69064,False,3000,b6059a1c-8dfd-4b4d-a614-3d52b7112db4,2025-12-05,2025-12-05
6507981197719225632,122000001,6886928738596310834,customer5557@email.com,2025-08-31T00:00:00.000,system@dxlg.com,2025-08-31T00:54:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,1a5f7698-b662-4f38-bdb3-b1495bbad395,CUST30366,False,3000,d2c7648c-9fb1-45e8-ba10-5779890490c5,2025-12-05,2025-12-05
6016455068216465596,122000002,6797746351941286526,customer5333@email.com,2023-10-10T00:00:00.000,system@dxlg.com,2023-10-10T00:34:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,476d9af0-cbd3-4fc0-95d2-26a90f221b09,CUST78756,False,2000,63a65079-30a8-4805-93d7-c9d4a99d4fff,2025-12-05,2025-12-05
6344216925368314616,122000003,6869595598868762497,customer4733@email.com,2023-04-15T00:00:00.000,system@dxlg.com,2023-04-15T00:05:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,6efe77ec-161d-430b-976d-93bc85357986,CUST40117,False,2000,f4aa135c-6894-468d-8d6f-208765cb6783,2025-12-05,2025-12-05
6113048607048285228,122000004,6670604040916071988,customer2169@email.com,2024-02-03T00:00:00.000,system@dxlg.com,2024-02-03T00:54:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,baad715d-93bf-4aa4-b067-4a9c45497bf9,CUST81799,False,2000,07874b98-7030-4dc8-821d-cdbb74f335bb,2025-12-05,2025-12-05
6851139157863145928,122000006,6717120324237375206,customer9830@email.com,2024-06-08T00:00:00.000,system@dxlg.com,2024-06-08T00:40:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,73fc1f24-bc25-4e81-9def-653b1669dbac,CUST68482,False,3000,06945d8f-5d78-483e-a913-c329bcd6b076,2025-12-05,2025-12-05
6496015560620401079,122000007,6839746822993060295,customer7916@email.com,2025-09-18T00:00:00.000,system@dxlg.com,2025-09-18T00:54:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,54237a0e-6115-40f8-8615-80b0beb60016,CUST56885,False,2000,c4c6d833-44d7-4bbb-b887-916f49517eed,2025-12-05,2025-12-05
6960839632210043588,122000008,6310887866183371610,customer3591@email.com,2020-02-17T00:00:00.000,system@dxlg.com,2020-02-17T00:01:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,e8f235d6-ec62-4ac1-bc45-addac7f53917,CUST22073,False,2000,35475a2a-5fff-4f06-977f-bc91dda8f4dd,2025-12-05,2025-12-05
6502525530811819385,122000009,6652125836890484054,customer6947@email.com,2022-03-25T00:00:00.000,system@dxlg.com,2022-03-25T00:57:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,c65c2b60-dec7-4967-a070-2968c5a7e6f8,CUST86505,False,3000,87cddcad-0ba1-4a12-9cf7-76dba05947e4,2025-12-05,2025-12-05
6619639729072905580,122000010,6758798247875084563,customer3705@email.com,2025-06-13T00:00:00.000,system@dxlg.com,2025-06-13T00:17:00.000,"{""status"": ""success"", ""message"": ""Payment processed""}",dxlg-us,9cd99ac6-f2d3-4590-beb0-2d44d33a851b,CUST63693,False,2000,119271a4-4be5-42a9-8a6a-cd8c59a1e733,2025-12-05,2025-12-05
