scan_id,user_id,associate_login_email,scanning_mode,store_num,app,date,source_metadata,tar,mesh,measures,weight,pose_count,distance,gender,age,height,type,date_partition,process_date,load_filename,load_timestamp,pipeline,status,year,month,multiscan_num,pipeline_metadata,scan_quality,retry_count,confidence_score
9dc847e9-d0d2-4baa-8236-7c08dbcf081e,e9f1911c-4690-485a-aab0-425e2dc585dd,scan+dxl.sm5011@formcut.us,self,5011,095e3581-c21b-4abb-9602-8579d32c6c8e,11-03-2025 00:00,"{""scanning_mode"": ""self"", ""device"": ""iPad14,5"", ""app_version"": ""2.2.2"", ""scan_duration"": 78}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/9dc847e9-d0d2-4baa-8236-7c08dbcf081e/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/9dc847e9-d0d2-4baa-8236-7c08dbcf081e/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/9dc847e9-d0d2-4baa-8236-7c08dbcf081e/measure_results_composite.yaml,338,3,34,female,41,74,2d3d-silhouette-2.0.0,20,12-03-2025,scanId-9dc847e9-d0d2-4baa-8236-7c08dbcf081e_2025_03_11_00_00_00.json,36:14.9,dar-measure_3.2.0,complete,2025,3,3,"{""version"": ""2.5"", ""quality_score"": 0.89}",EXCELLENT,0,0.99
f8374730-45ab-4d57-969f-a83892673826,b95534f8-d552-4753-9a4f-749d3f2fa72b,scan+dxl.sm9422@formcut.us,self,9422,095e3581-c21b-4abb-9602-8579d32c6c8e,08-07-2024 00:00,"{""scanning_mode"": ""self"", ""device"": ""iPad14,5"", ""app_version"": ""3.0.1"", ""scan_duration"": 78}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/f8374730-45ab-4d57-969f-a83892673826/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/f8374730-45ab-4d57-969f-a83892673826/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/f8374730-45ab-4d57-969f-a83892673826/measure_results_composite.yaml,342,3,36,male,56,68,2d3d-silhouette-2.1.0,15,09-07-2024,scanId-f8374730-45ab-4d57-969f-a83892673826_2024_07_08_00_00_00.json,46:23.2,dar-measure_3.3.0,complete,2024,7,2,"{""version"": ""2.4"", ""quality_score"": 0.96}",EXCELLENT,2,0.97
25b2e41c-5dc8-4b0f-a55f-444885dde512,a5df5a46-c02d-43d2-a81e-5d5ba6b903b4,scan+dxl.sm5011@formcut.us,assisted,5011,095e3581-c21b-4abb-9602-8579d32c6c8e,13-07-2025 00:00,"{""scanning_mode"": ""assisted"", ""device"": ""iPad14,5"", ""app_version"": ""3.0.4"", ""scan_duration"": 98}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/25b2e41c-5dc8-4b0f-a55f-444885dde512/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/25b2e41c-5dc8-4b0f-a55f-444885dde512/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/25b2e41c-5dc8-4b0f-a55f-444885dde512/measure_results_composite.yaml,368,2,36,male,32,82,2d3d-silhouette-2.0.0,10,14-07-2025,scanId-25b2e41c-5dc8-4b0f-a55f-444885dde512_2025_07_13_00_00_00.json,18:14.2,standard-pipeline-1.0,complete,2025,7,1,"{""version"": ""2.0"", ""quality_score"": 0.92}",FAIR,1,0.88
fda7f96d-32a0-40bb-9b0c-b392b60e20bb,73937bb3-9ec5-4e0a-b343-a7301232121f,scan+dxl.sm9600@formcut.us,self,9600,095e3581-c21b-4abb-9602-8579d32c6c8e,11-06-2024 00:00,"{""scanning_mode"": ""self"", ""device"": ""iPad14,5"", ""app_version"": ""3.1.2"", ""scan_duration"": 117}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/fda7f96d-32a0-40bb-9b0c-b392b60e20bb/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/fda7f96d-32a0-40bb-9b0c-b392b60e20bb/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/fda7f96d-32a0-40bb-9b0c-b392b60e20bb/measure_results_composite.yaml,322,4,32,female,34,78,3d-full-body-1.0,10,12-06-2024,scanId-fda7f96d-32a0-40bb-9b0c-b392b60e20bb_2024_06_11_00_00_00.json,40:23.3,dar-measure_3.3.0,error,2024,6,1,"{""version"": ""2.0"", ""quality_score"": 0.95}",FAIR,2,0.94
16921890-29cf-4fe6-89d5-280fa76b6e37,7b06cb9e-ea1a-41ae-9018-220f01fbd3f0,scan+dxl.sm9100@formcut.us,self,9100,095e3581-c21b-4abb-9602-8579d32c6c8e,11-07-2024 00:00,"{""scanning_mode"": ""self"", ""device"": ""iPad14,5"", ""app_version"": ""3.1.9"", ""scan_duration"": 94}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/16921890-29cf-4fe6-89d5-280fa76b6e37/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/16921890-29cf-4fe6-89d5-280fa76b6e37/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/16921890-29cf-4fe6-89d5-280fa76b6e37/measure_results_composite.yaml,235,2,40,male,79,75,2d3d-silhouette-2.0.0,20,12-07-2024,scanId-16921890-29cf-4fe6-89d5-280fa76b6e37_2024_07_11_00_00_00.json,18:35.7,standard-pipeline-1.0,complete,2024,7,2,"{""version"": ""1.4"", ""quality_score"": 0.97}",EXCELLENT,1,0.81
f2aceae3-bb3d-4171-a3af-be87746bcff6,8a55489f-93c8-40ce-a9eb-7173ea9029fe,scan+dxl.sm9330@formcut.us,self,9330,095e3581-c21b-4abb-9602-8579d32c6c8e,24-05-2025 00:00,"{""scanning_mode"": ""self"", ""device"": ""Android Tablet"", ""app_version"": ""2.5.4"", ""scan_duration"": 61}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/f2aceae3-bb3d-4171-a3af-be87746bcff6/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/f2aceae3-bb3d-4171-a3af-be87746bcff6/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/f2aceae3-bb3d-4171-a3af-be87746bcff6/measure_results_composite.yaml,233,4,34,male,27,69,3d-full-body-1.0,30,25-05-2025,scanId-f2aceae3-bb3d-4171-a3af-be87746bcff6_2025_05_24_00_00_00.json,17:52.4,dar-measure_3.3.0,complete,2025,5,1,"{""version"": ""1.5"", ""quality_score"": 0.86}",EXCELLENT,1,0.78
121ab81f-fd63-4a77-91e5-1d85d209a16b,4aea7140-7c02-49d7-99ad-c7c5917d6070,scan+dxl.sm9422@formcut.us,self,9422,095e3581-c21b-4abb-9602-8579d32c6c8e,10-10-2024 00:00,"{""scanning_mode"": ""self"", ""device"": ""iPad13,8"", ""app_version"": ""2.5.0"", ""scan_duration"": 97}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/121ab81f-fd63-4a77-91e5-1d85d209a16b/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/121ab81f-fd63-4a77-91e5-1d85d209a16b/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/121ab81f-fd63-4a77-91e5-1d85d209a16b/measure_results_composite.yaml,389,2,36,female,28,81,2d3d-silhouette-2.1.0,25,11-10-2024,scanId-121ab81f-fd63-4a77-91e5-1d85d209a16b_2024_10_10_00_00_00.json,19:19.2,dar-measure_3.2.0,complete,2024,10,3,"{""version"": ""2.5"", ""quality_score"": 0.92}",FAIR,1,0.91
3dceca98-bea5-4a29-bb6d-f66183d96878,b322d8d6-c4dd-4cca-a7d2-0d0b150adf92,scan+dxl.sm9588@formcut.us,self,9588,095e3581-c21b-4abb-9602-8579d32c6c8e,12-10-2025 00:00,"{""scanning_mode"": ""self"", ""device"": ""Android Tablet"", ""app_version"": ""3.1.3"", ""scan_duration"": 107}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/3dceca98-bea5-4a29-bb6d-f66183d96878/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/3dceca98-bea5-4a29-bb6d-f66183d96878/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/3dceca98-bea5-4a29-bb6d-f66183d96878/measure_results_composite.yaml,375,3,36,male,71,71,2d3d-silhouette-2.0.0,10,13-10-2025,scanId-3dceca98-bea5-4a29-bb6d-f66183d96878_2025_10_12_00_00_00.json,26:10.7,dar-measure_3.2.0,complete,2025,10,1,"{""version"": ""1.5"", ""quality_score"": 0.91}",FAIR,0,0.85
723ea268-e462-44c8-9a37-1c49e047bddd,5d46f8f8-9456-4789-91e0-ce5a67fd45cc,scan+dxl.sm9588@formcut.us,assisted,9588,095e3581-c21b-4abb-9602-8579d32c6c8e,21-10-2024 00:00,"{""scanning_mode"": ""assisted"", ""device"": ""iPhone14,2"", ""app_version"": ""2.3.0"", ""scan_duration"": 105}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/723ea268-e462-44c8-9a37-1c49e047bddd/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/723ea268-e462-44c8-9a37-1c49e047bddd/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/723ea268-e462-44c8-9a37-1c49e047bddd/measure_results_composite.yaml,238,4,32,male,53,73,3d-full-body-1.0,25,22-10-2024,scanId-723ea268-e462-44c8-9a37-1c49e047bddd_2024_10_21_00_00_00.json,32:29.4,dar-measure_3.2.0,complete,2024,10,2,"{""version"": ""2.3"", ""quality_score"": 0.89}",POOR,0,0.86
d203827c-fe04-40c6-91fe-e08a28592c32,5ba08514-4af9-4269-870a-97653b0d89cd,scan+dxl.sm9451@formcut.us,assisted,9451,095e3581-c21b-4abb-9602-8579d32c6c8e,18-01-2024 00:00,"{""scanning_mode"": ""assisted"", ""device"": ""Android Tablet"", ""app_version"": ""2.4.8"", ""scan_duration"": 63}",s3://prod-tar-upload-5.0.1-616470503709/2d3d-silhouette-2.1.0/d203827c-fe04-40c6-91fe-e08a28592c32/acquired.tar.enc,s3://prod-3did-buckets-1-scans-616470503709/d203827c-fe04-40c6-91fe-e08a28592c32/mesh.drc,s3://prod-3did-buckets-1-scans-616470503709/d203827c-fe04-40c6-91fe-e08a28592c32/measure_results_composite.yaml,344,2,36,male,54,82,3d-full-body-1.0,20,19-01-2024,scanId-d203827c-fe04-40c6-91fe-e08a28592c32_2024_01_18_00_00_00.json,43:26.2,dar-measure_3.2.0,error,2024,1,2,"{""version"": ""3.3"", ""quality_score"": 0.85}",EXCELLENT,0,0.97
