id,source_app,created,modified,source_attendant,last_name,first_name,date_of_birth,email,phone,height,weight,process_date,load_filename,load_timestamp,gender,year,age,bmi,customer_type,scan_count,last_scan_date
58559b38-12a1-43bb-9088-8e519af28972,095e3581-c21b-4abb-9602-8579d32c6c8e,16-10-2025 00:00,19-10-2025 00:00,23434,Cowen,Robert,22-12-1946,robert.cowen914@email.com,3342331444,76,262,20-10-2025,userId-58559b38-12a1-43bb-9088-8e519af28972_2025_10_19_00_00_00.json,47:37.1,male,1946,79,70.3,NEW,2,19-10-2025
c53aa501-b999-405b-be0c-bad919b66b62,095e3581-c21b-4abb-9602-8579d32c6c8e,11-08-2024 00:00,18-08-2024 00:00,38893,Miller,Joseph,15-10-1977,joseph.miller285@email.com,4460967357,68,343,19-08-2024,userId-c53aa501-b999-405b-be0c-bad919b66b62_2024_08_18_00_00_00.json,54:37.6,male,1977,48,115.0,VIP,3,18-08-2024
8e6d3eb3-475c-4dc7-9956-6254289f2343,095e3581-c21b-4abb-9602-8579d32c6c8e,08-08-2024 00:00,07-09-2024 00:00,57052,Johnson,William,28-06-1993,william.johnson619@email.com,9776552803,78,226,08-09-2024,userId-8e6d3eb3-475c-4dc7-9956-6254289f2343_2024_09_07_00_00_00.json,39:44.2,male,1993,32,57.6,REGULAR,2,07-09-2024
4bfb7b28-8b2b-4669-a1e4-daf966d71b72,095e3581-c21b-4abb-9602-8579d32c6c8e,19-07-2025 00:00,28-07-2025 00:00,96673,Smith,James,08-05-1998,james.smith82@email.com,4673561638,79,347,29-07-2025,userId-4bfb7b28-8b2b-4669-a1e4-daf966d71b72_2025_07_28_00_00_00.json,16:34.5,male,1998,27,86.2,REGULAR,6,28-07-2025
15e20dc5-d7da-4ea8-a70c-d08c82c7873a,095e3581-c21b-4abb-9602-8579d32c6c8e,15-06-2024 00:00,26-06-2024 00:00,93227,Martinez,James,06-09-1967,james.martinez747@email.com,2051454923,74,371,27-06-2024,userId-15e20dc5-d7da-4ea8-a70c-d08c82c7873a_2024_06_26_00_00_00.json,39:34.5,male,1967,58,105.0,RETURNING,6,26-06-2024
73bf43d4-9fc2-4a83-a52a-6b152a976097,095e3581-c21b-4abb-9602-8579d32c6c8e,27-02-2024 00:00,05-03-2024 00:00,37653,Johnson,Barbara,19-12-1997,barbara.johnson323@email.com,7439149233,69,280,06-03-2024,userId-73bf43d4-9fc2-4a83-a52a-6b152a976097_2024_03_05_00_00_00.json,51:39.3,female,1997,28,91.2,VIP,3,05-03-2024
240d0e19-f754-4961-8bee-4a2e475bfaf4,095e3581-c21b-4abb-9602-8579d32c6c8e,09-09-2024 00:00,02-10-2024 00:00,57447,Miller,Karen,08-03-1980,karen.miller522@email.com,3119634399,76,391,03-10-2024,userId-240d0e19-f754-4961-8bee-4a2e475bfaf4_2024_10_02_00_00_00.json,58:13.2,female,1980,45,104.9,RETURNING,3,02-10-2024
4407b71b-e3da-4790-bf96-06edea8b1768,095e3581-c21b-4abb-9602-8579d32c6c8e,27-11-2025 00:00,10-12-2025 00:00,79352,Davis,Karen,09-09-1983,karen.davis882@email.com,5047709743,70,298,11-12-2025,userId-4407b71b-e3da-4790-bf96-06edea8b1768_2025_12_10_00_00_00.json,53:56.2,female,1983,42,94.3,VIP,6,10-12-2025
3311baeb-537b-4fe9-b761-fd17fdb0519b,095e3581-c21b-4abb-9602-8579d32c6c8e,24-04-2024 00:00,03-05-2024 00:00,33416,Rodriguez,David,17-02-1972,david.rodriguez892@email.com,7980611182,73,316,04-05-2024,userId-3311baeb-537b-4fe9-b761-fd17fdb0519b_2024_05_03_00_00_00.json,50:42.4,male,1972,53,91.9,RETURNING,6,03-05-2024
1d8b1e9f-a473-4f4c-8664-6e39906dc6a9,095e3581-c21b-4abb-9602-8579d32c6c8e,14-06-2024 00:00,01-07-2024 00:00,24662,Smith,Richard,12-05-1994,richard.smith246@email.com,1248786714,84,200,02-07-2024,userId-1d8b1e9f-a473-4f4c-8664-6e39906dc6a9_2024_07_01_00_00_00.json,46:15.2,male,1994,31,43.9,REGULAR,2,01-07-2024
1bb0784a-97e5-42c1-856a-d071d25ed521,095e3581-c21b-4abb-9602-8579d32c6c8e,29-06-2025 00:00,23-07-2025 00:00,44741,Williams,Sarah,17-10-1953,sarah.williams434@email.com,5141907136,72,368,24-07-2025,userId-1bb0784a-97e5-42c1-856a-d071d25ed521_2025_07_23_00_00_00.json,44:58.4,female,1953,72,110.0,VIP,7,23-07-2025
a56ed67f-8b9c-42da-862c-cf3d3c846e31,095e3581-c21b-4abb-9602-8579d32c6c8e,18-11-2025 00:00,08-12-2025 00:00,39451,Brown,Patricia,03-06-1968,patricia.brown22@email.com,1945826486,82,332,09-12-2025,userId-a56ed67f-8b9c-42da-862c-cf3d3c846e31_2025_12_08_00_00_00.json,14:55.1,female,1968,57,76.5,RETURNING,2,08-12-2025
aaffde11-86e9-41ce-bcf9-044d012eb52f,095e3581-c21b-4abb-9602-8579d32c6c8e,02-02-2024 00:00,29-02-2024 00:00,73624,Allen,David,07-09-1966,david.allen136@email.com,7769777475,70,331,01-03-2024,userId-aaffde11-86e9-41ce-bcf9-044d012eb52f_2024_02_29_00_00_00.json,25:40.7,male,1966,59,104.7,RETURNING,2,29-02-2024
7e021243-71eb-46b7-9e30-d935a3aac5ad,095e3581-c21b-4abb-9602-8579d32c6c8e,09-04-2024 00:00,30-04-2024 00:00,17100,Cowen,Jessica,22-11-1972,jessica.cowen662@email.com,1422701550,79,308,01-05-2024,userId-7e021243-71eb-46b7-9e30-d935a3aac5ad_2024_04_30_00_00_00.json,35:56.6,female,1972,53,76.5,NEW,4,30-04-2024
f01914d1-0dc9-4d11-b89e-d2634f104d3d,095e3581-c21b-4abb-9602-8579d32c6c8e,15-07-2024 00:00,21-07-2024 00:00,70637,Jones,Jennifer,08-02-1979,jennifer.jones454@email.com,1420514789,82,235,22-07-2024,userId-f01914d1-0dc9-4d11-b89e-d2634f104d3d_2024_07_21_00_00_00.json,51:44.1,female,1979,46,54.2,NEW,4,21-07-2024
3f7ec033-84f7-4fca-8abf-6b6eb718e63e,095e3581-c21b-4abb-9602-8579d32c6c8e,19-06-2024 00:00,02-07-2024 00:00,59672,Williams,Mary,01-07-1976,mary.williams272@email.com,8667072205,83,254,03-07-2024,userId-3f7ec033-84f7-4fca-8abf-6b6eb718e63e_2024_07_02_00_00_00.json,28:37.9,female,1976,49,57.1,REGULAR,3,02-07-2024
1e01024b-c527-42cb-a4d3-4e7869f548ba,095e3581-c21b-4abb-9602-8579d32c6c8e,13-07-2024 00:00,22-07-2024 00:00,16572,Smith,John,19-08-1958,john.smith515@email.com,3281169403,69,348,23-07-2024,userId-1e01024b-c527-42cb-a4d3-4e7869f548ba_2024_07_22_00_00_00.json,13:42.2,male,1958,67,113.3,RETURNING,2,22-07-2024
d4759df8-2ccd-4f84-9c28-205907e11f4e,095e3581-c21b-4abb-9602-8579d32c6c8e,01-09-2025 00:00,03-09-2025 00:00,85880,Brown,Thomas,20-01-1988,thomas.brown635@email.com,5647083348,75,303,04-09-2025,userId-d4759df8-2ccd-4f84-9c28-205907e11f4e_2025_09_03_00_00_00.json,52:47.9,male,1988,37,83.5,VIP,5,03-09-2025
8d4057e3-ae1e-46b8-819a-92c4aea2fca7,095e3581-c21b-4abb-9602-8579d32c6c8e,28-07-2024 00:00,18-08-2024 00:00,98039,Williams,William,21-05-1990,william.williams469@email.com,1311570307,78,261,19-08-2024,userId-8d4057e3-ae1e-46b8-819a-92c4aea2fca7_2024_08_18_00_00_00.json,39:49.2,male,1990,35,66.5,NEW,9,18-08-2024
de0ea185-f18a-4094-a012-a2f3a62f8769,095e3581-c21b-4abb-9602-8579d32c6c8e,06-08-2024 00:00,22-08-2024 00:00,47353,Garcia,Michael,06-08-1961,michael.garcia854@email.com,3271782991,72,289,23-08-2024,userId-de0ea185-f18a-4094-a012-a2f3a62f8769_2024_08_22_00_00_00.json,52:45.5,male,1961,64,86.4,NEW,3,22-08-2024
7dff98f6-dfd9-4949-b7bf-3bab94d1f073,095e3581-c21b-4abb-9602-8579d32c6c8e,27-09-2024 00:00,30-09-2024 00:00,54942,Brown,Thomas,07-11-1951,thomas.brown650@email.com,8958199946,72,269,01-10-2024,userId-7dff98f6-dfd9-4949-b7bf-3bab94d1f073_2024_09_30_00_00_00.json,42:41.5,male,1951,74,80.4,NEW,2,30-09-2024
62f27a77-7469-448f-8804-285a30dcdb4e,095e3581-c21b-4abb-9602-8579d32c6c8e,11-10-2025 00:00,24-10-2025 00:00,93507,Williams,John,09-03-1998,john.williams760@email.com,8325785916,76,211,25-10-2025,userId-62f27a77-7469-448f-8804-285a30dcdb4e_2025_10_24_00_00_00.json,45:10.2,male,1998,27,56.6,NEW,3,24-10-2025
3e8028ef-532b-42b3-a953-49b369b3b1bf,095e3581-c21b-4abb-9602-8579d32c6c8e,12-07-2025 00:00,13-07-2025 00:00,15482,Williams,William,10-06-1998,william.williams921@email.com,2536778950,79,349,14-07-2025,userId-3e8028ef-532b-42b3-a953-49b369b3b1bf_2025_07_13_00_00_00.json,53:25.2,male,1998,27,86.7,VIP,9,13-07-2025
94bbdf43-38d5-4cde-8d03-41e3ce24fdf4,095e3581-c21b-4abb-9602-8579d32c6c8e,20-02-2025 00:00,11-03-2025 00:00,13248,Miller,Robert,06-12-1992,robert.miller947@email.com,9292791081,72,260,12-03-2025,userId-94bbdf43-38d5-4cde-8d03-41e3ce24fdf4_2025_03_11_00_00_00.json,52:57.4,male,1992,33,77.7,VIP,3,11-03-2025
e311e64e-cc6e-41d0-9686-a71f7792fe82,095e3581-c21b-4abb-9602-8579d32c6c8e,20-04-2024 00:00,02-05-2024 00:00,55830,Davis,Michael,10-04-2000,michael.davis229@email.com,9691572571,69,320,03-05-2024,userId-e311e64e-cc6e-41d0-9686-a71f7792fe82_2024_05_02_00_00_00.json,22:35.6,male,2000,25,104.2,VIP,2,02-05-2024
9faee41c-6fce-4690-a690-9f5d10685898,095e3581-c21b-4abb-9602-8579d32c6c8e,12-10-2024 00:00,23-10-2024 00:00,44237,Johnson,Marcus,06-10-1986,marcus.johnson986@email.com,9519284858,84,302,24-10-2024,userId-9faee41c-6fce-4690-a690-9f5d10685898_2024_10_23_00_00_00.json,12:16.7,male,1986,39,66.3,VIP,6,23-10-2024
fad3d6e6-6a99-4ecd-a18c-ced01626cbf4,095e3581-c21b-4abb-9602-8579d32c6c8e,22-03-2025 00:00,10-04-2025 00:00,67154,Smith,David,01-09-1977,david.smith948@email.com,6141226746,71,298,11-04-2025,userId-fad3d6e6-6a99-4ecd-a18c-ced01626cbf4_2025_04_10_00_00_00.json,37:14.6,male,1977,48,91.6,VIP,2,10-04-2025
4eebb904-87ab-4854-a782-df687f9a29a2,095e3581-c21b-4abb-9602-8579d32c6c8e,03-11-2024 00:00,19-11-2024 00:00,26683,Rodriguez,Barbara,07-07-1964,barbara.rodriguez681@email.com,9333798503,81,283,20-11-2024,userId-4eebb904-87ab-4854-a782-df687f9a29a2_2024_11_19_00_00_00.json,53:57.3,female,1964,61,66.9,VIP,7,19-11-2024
c10fa32a-3baa-4b4a-a664-ba4627d4e508,095e3581-c21b-4abb-9602-8579d32c6c8e,15-07-2025 00:00,10-08-2025 00:00,89516,Martinez,William,21-06-1945,william.martinez477@email.com,7192423780,77,273,11-08-2025,userId-c10fa32a-3baa-4b4a-a664-ba4627d4e508_2025_08_10_00_00_00.json,53:23.9,male,1945,80,71.4,REGULAR,3,10-08-2025
e1f7c77e-43a4-4cc8-86bb-e8bf54cb8313,095e3581-c21b-4abb-9602-8579d32c6c8e,05-11-2025 00:00,07-11-2025 00:00,98184,Brown,James,10-04-1963,james.brown826@email.com,1855256552,84,369,08-11-2025,userId-e1f7c77e-43a4-4cc8-86bb-e8bf54cb8313_2025_11_07_00_00_00.json,11:12.4,male,1963,62,81.1,REGULAR,10,07-11-2025
090af30d-9636-4a5a-8b28-dc84eaf05ce8,095e3581-c21b-4abb-9602-8579d32c6c8e,15-03-2024 00:00,29-03-2024 00:00,41979,Miller,Jessica,05-11-1971,jessica.miller705@email.com,2825989011,74,383,30-03-2024,userId-090af30d-9636-4a5a-8b28-dc84eaf05ce8_2024_03_29_00_00_00.json,21:54.9,female,1971,54,108.4,REGULAR,1,29-03-2024
07af98b7-2f85-4a8f-aba2-797d84da922a,095e3581-c21b-4abb-9602-8579d32c6c8e,24-07-2025 00:00,31-07-2025 00:00,79616,Allen,Richard,18-10-1999,richard.allen325@email.com,9123612497,71,316,01-08-2025,userId-07af98b7-2f85-4a8f-aba2-797d84da922a_2025_07_31_00_00_00.json,49:56.9,male,1999,26,97.2,REGULAR,9,31-07-2025
8c99115c-d513-4ec8-b940-9e75d0643880,095e3581-c21b-4abb-9602-8579d32c6c8e,01-04-2025 00:00,29-04-2025 00:00,46347,Allen,Michael,25-09-1955,michael.allen497@email.com,3691864041,83,315,30-04-2025,userId-8c99115c-d513-4ec8-b940-9e75d0643880_2025_04_29_00_00_00.json,27:38.2,male,1955,70,70.9,VIP,4,29-04-2025
